year,total,road_transporation.total,road_transporation.cars,road_transporation.light_duty_trucks,road_transporation.heavy_duty_trucks,road_transporation.buses,road_transporation.motorcycles,road_transporation.other,railways,domestic_aviation,domestic_navigation,other_transportation,international_aviation,international_navigation
1986,2052.06,1974.45,1384.57,45.61,462.7,63.3,10.11,0,76.99,0.61,0.01,0,58.58,0
1987,2425.75,2349,1687.18,45.8,533.5,63.9,9.41,0,76.33,0.41,0.01,0,59.34,0
1988,2455.43,2381.06,1655.68,46.32,596.0,63.8,9.07,0,73.76,0.59,0.01,0,54.32,0
1989,2485.54,2409.75,1712.98,48.31,566.8,63.4,8.54,0,74.95,0.83,0.01,0,51.18,0
1990,2738.12,2664.25,1853.33,47.78,686.8,56.9,8.03,0,72.77,1.08,0.01,0,49.29,0
1991,2594.34,2512.46,1741.63,49.65,646.5,56.3,7.54,0,81.26,0.61,0.01,0,21.35,0
1992,2635.82,2580.23,1914.6,49.44,553.7,48.2,5.24,0,54.61,0.97,0.01,0,33.78,0
1993,3186.84,3138.88,2300.15,62.81,701.7,58.1,5.25,0,46.23,1.73,0.01,0,48.22,0
1994,3574.08,3525.27,2575.12,74.21,797.1,62.0,5.29,0,46.76,2.03,0.01,0,53.88,0
1995,3996.02,3945.23,2797.43,90.83,971.6,67.0,5.34,0,48.79,1.98,0.02,0,57.64,0
1996,4538.02,4490.41,3140.56,100.44,1165.0,64.5,5.51,0,45.38,2.21,0.02,0,53.28,0
1997,4745.39,4699.03,3154,121.29,1330.7,71.8,5.78,0,43.98,2.37,0.02,0,56.12,0
1998,3946.24,3900.33,2788.93,125.71,902.0,67.5,6.19,0,42.97,2.93,0.02,0,50.16,0
1999,3737.16,3692.42,2749.34,138.09,720.8,70.0,6.54,0,41.88,2.83,0.02,0,60.14,0
2000,3684.38,3638.89,2851.38,143.56,565.0,66.0,7.24,0,42.64,2.84,0.01,0,69.35,0
2001,3846.16,3802.2,2861.62,157.7,704.4,64.5,7.56,0,41.62,2.32,0.02,0,78.53,0
2002,3908.39,3862.25,2845.73,196.58,727.8,78.0,7.96,0,43.82,2.31,0.02,0,80.96,0
2003,3958.07,3914.54,2862.06,199.22,767.8,72.6,6.88,0,41.14,2.37,0.02,0,77.18,0
2004,4136.65,4093.02,2821.23,236,938.5,84.2,6.46,0,41.74,1.87,0.03,0,57.73,0
2005,4405.91,4361.36,2907.4,238.09,1120.4,80.5,7.69,0,41.78,2.74,0.03,0,61.41,68.79
2006,4642.09,4598.45,3055.71,246.15,1198.0,81.7,9.29,0,41.6,2.01,0.03,0,71.1,94.25
2007,5245.24,5202.62,3352.6,323.05,1405.5,96.5,16,0,40.36,2.22,0.04,0,93.66,158.65
2008,6165.07,6123.71,3869.81,432.09,1677.9,113.7,19.31,0,37.1,2.08,0.05,2.14,104.04,213.96
2009,5162.67,5125.99,3409.02,370.9,1225.1,90.7,21.65,0,31.23,1.98,0.04,3.43,77.98,105.26
2010,5303.47,5263.59,3587.91,417.6,1126.3,99.9,22.94,0,33.42,1.97,0.04,4.44,73.37,60.05
2011,5654.28,5615.51,3797.57,462.59,1209.0,111.9,23.48,0,35.11,2.77,0.05,0.84,68.86,105.87
2012,5673.21,5636.44,3761.98,470.8,1251.9,114.8,23.7,0,33.27,2.3,0.05,1.16,66.39,163.82
2013,5372.46,5335.98,3563.99,442.37,1179.7,111.6,23.81,0,34.26,1.73,0.03,0.47,73.13,202.11
2014,5388.84,5340.17,3536.81,442.59,1200.0,119.3,24.61,0,44.96,1.87,0.03,1.8,72.17,186.27
2015,5359.29,5312.99,3503.17,437.78,1223.5,103.8,25.76,0,41.3,1.98,0.05,2.98,74.79,208.53
2016,5732.98,5693.49,3721.82,491.19,1321.7,109.0,27.51,0,34.6,2.03,0.04,2.83,61.11,400.39
2017,5862.78,5824.11,3754.57,500.75,1395.1,120.5,28.38,0,32.26,1.72,0.04,4.65,74.31,504.66
2018,5841.65,5809.41,3721.92,517.67,1398.8,116.2,28.29,0,29.36,2.01,0.05,0.81,102.29,734.35
2019,5631.53,5602.92,3592.56,477,1357.6,117.2,31.61,0,25.92,1.97,0.09,0.62,77.9,619.34
2020,4581.05,4559.38,2761.99,410.76,1262.2,71.6,27.72,0,19.1,1.58,0.09,0.91,26.18,353.84
